,precision_1,precision_3,precision_5,precision_10,precision_20,precision_30,precision_50
0,0.7334983498349835,0.9224422442244224,0.9587458745874587,0.9744224422442245,0.9826732673267327,0.9826732673267327,0.9826732673267327
1,0.7302504816955684,0.9036608863198459,0.9219653179190751,0.941233140655106,0.9499036608863198,0.9499036608863198,0.9499036608863198
2,0.7806122448979592,0.9489795918367347,0.9693877551020408,0.9846938775510204,0.9897959183673469,0.9897959183673469,0.9897959183673469
3,0.7446808510638298,0.9185938945420906,0.937095282146161,0.9509713228492137,0.9583718778908418,0.9583718778908418,0.9583718778908418
4,0.7205387205387206,0.9015151515151515,0.9259259259259259,0.9436026936026936,0.952020202020202,0.952020202020202,0.952020202020202
5,0.7246621621621622,0.9028716216216216,0.9256756756756757,0.9425675675675675,0.9510135135135135,0.9510135135135135,0.9510135135135135
6,0.7843803056027164,0.9252971137521222,0.9490662139219015,0.9575551782682513,0.9575551782682513,0.9575551782682513,0.9575551782682513
7,0.7379972565157751,0.9080932784636488,0.9300411522633745,0.9492455418381345,0.953360768175583,0.953360768175583,0.953360768175583
8,0.8181818181818182,0.9336609336609336,0.9484029484029484,0.9557739557739557,0.9582309582309583,0.9582309582309583,0.9582309582309583
9,0.7210264900662252,0.9039735099337748,0.9271523178807947,0.9437086092715232,0.9519867549668874,0.9519867549668874,0.9519867549668874
10,0.7231025854879066,0.9049207673060884,0.9274395329441201,0.9441201000834029,0.9516263552960801,0.9516263552960801,0.9516263552960801
11,0.7255067567567568,0.9037162162162162,0.9265202702702703,0.9434121621621622,0.9518581081081081,0.9518581081081081,0.9518581081081081
12,0.7205020920502092,0.9037656903765691,0.9271966527196652,0.9439330543933054,0.9523012552301255,0.9523012552301255,0.9523012552301255
13,0.7348214285714286,0.9107142857142857,0.9321428571428572,0.9464285714285714,0.9544642857142858,0.9544642857142858,0.9544642857142858
14,0.7569620253164557,0.9012658227848102,0.9341772151898734,0.9493670886075949,0.9544303797468354,0.9544303797468354,0.9544303797468354
15,0.8102836879432624,0.9379432624113475,0.950354609929078,0.9609929078014184,0.9663120567375887,0.9663120567375887,0.9663120567375887
16,0.7214765100671141,0.9052013422818792,0.9286912751677853,0.9454697986577181,0.9530201342281879,0.9530201342281879,0.9530201342281879
17,0.7243963363863447,0.9075770191507078,0.929225645295587,0.9450457951706911,0.9533721898417985,0.9533721898417985,0.9533721898417985
18,0.7249782419495213,0.9051348999129678,0.9268929503916449,0.9434290687554395,0.9512619669277633,0.9512619669277633,0.9512619669277633
19,0.7118863049095607,0.9095607235142119,0.9547803617571059,0.9677002583979328,0.9767441860465116,0.9767441860465116,0.9767441860465116
20,0.75,0.923469387755102,0.9642857142857143,0.9795918367346939,1.0,1.0,1.0
21,0.7687861271676301,0.9393063583815029,0.9739884393063584,0.9797687861271677,0.9855491329479769,0.9855491329479769,0.9855491329479769
22,0.7300832342449465,0.896551724137931,0.9215219976218787,0.93935790725327,0.9488703923900119,0.9488703923900119,0.9488703923900119
23,0.7264309764309764,0.9040404040404041,0.9267676767676768,0.9436026936026936,0.952020202020202,0.952020202020202,0.952020202020202
24,0.7627520759193357,0.9323843416370107,0.966785290628707,0.9762752075919335,0.9869513641755635,0.9869513641755635,0.9869513641755635
25,0.7211618257261411,0.9037344398340249,0.9269709543568465,0.9435684647302904,0.9518672199170124,0.9518672199170124,0.9518672199170124
26,0.7218430034129693,0.9010238907849829,0.9249146757679181,0.9419795221843004,0.9505119453924915,0.9505119453924915,0.9505119453924915
27,0.7252289758534555,0.906744379683597,0.9283930058284763,0.9442131557035803,0.9525395503746877,0.9525395503746877,0.9525395503746877
